# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.00%  main     [.] std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::_Adaptor
     0.00%  main     [.] std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min
     0.00%  main     [.] std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<LLcol*>
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::_S_construct<double, double const&>
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, false>::_S_base
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::allocate
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<LLord*>
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::construct<double, double const&>
     0.00%  main     [.] std::move<double&>
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_get_Tp_allocator
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::max_size
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::new_allocator
     0.00%  main     [.] std::uniform_real_distribution<double>::param_type::b
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::~new_allocator
     0.00%  main     [.] std::less<int>::operator()
     0.00%  main     [.] Edge::operator<
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin
     0.00%  main     [.] std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator
     0.00%  main     [.] __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >
     0.00%  main     [.] approxChol_count
     0.00%  main     [.] std::_Identity<int>::operator()
     0.00%  main     [.] std::max<unsigned long>
     0.00%  main     [.] std::_Iter_base<int*, false>::_S_base
     0.00%  main     [.] operator new@plt
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::~new_allocator
     0.00%  main     [.] std::vector<double, std::allocator<double> >::size
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key
     0.00%  main     [.] std::vector<int, std::allocator<int> >::max_size
     0.00%  main     [.] std::vector<int, std::allocator<int> >::_M_fill_initialize
     0.00%  main     [.] std::_Vector_base<double, std::allocator<double> >::_M_allocate
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::copy<std::move_iterator<double*>, double*>
     0.00%  main     [.] std::vector<int, std::allocator<int> >::_M_check_len
     0.00%  main     [.] perf_test
     0.00%  main     [.] std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::max
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::max_size
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::max_size
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<int*>
     0.00%  main     [.] std::vector<double, std::allocator<double> >::~vector
     0.00%  main     [.] std::move_iterator<int*>::move_iterator
     0.00%  main     [.] std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >
     0.00%  main     [.] std::_Iter_base<std::move_iterator<int*>, true>::_S_base
     0.00%  main     [.] std::less<Edge>::operator()
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound
     0.00%  main     [.] std::_Rb_tree_iterator<int>::_Rb_tree_iterator
     0.00%  main     [.] std::_Destroy<double*>
     0.00%  main     [.] std::vector<double, std::allocator<double> >::_M_emplace_back_aux<double>
     0.00%  main     [.] std::_Rb_tree<Edge, Edge, std::_Identity<Edge>, std::less<Edge>, std::allocator<Edge> >::_M_create_node<Edge>
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right
     0.00%  main     [.] std::pair<std::_Rb_tree_const_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>&, bool&, void>
     0.00%  main     [.] std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int const&>
     0.00%  main     [.] std::generate_canonical<double, 53ul, std::random_device>


#
# (Tip: Use parent filter to see specific call path: perf report -p <regex>)
#
